route,total_distance,speed_avg,temperature,slope,energy_consumption,source,Vehicle_Weight_kg
1,4205.270059726966,71.0,,-0.2045480743451598,0.0,Vicom/Kaggle,970.0
2,18632.377163725167,106.0,,0.0338123040211282,2970.0,Vicom/Kaggle,970.0
3,33087.97136043405,60.0,,-0.0290136868817161,4290.0,Vicom/Kaggle,970.0
4,20347.33163434583,95.0,,0.0545534194381957,4290.0,Vicom/Kaggle,970.0
5,4174.777336916378,71.0,12.285713857142856,-0.206042732755144,0.0,Vicom/Kaggle,1735.0
6,18571.39662024152,106.0,13.386029727941176,0.0285386268536734,3100.0,Vicom/Kaggle,1735.0
7,33213.25614646405,60.0,13.456521565217392,-0.0255922749593228,4340.0,Vicom/Kaggle,1735.0
8,20366.95082440368,95.0,14.396693421487605,0.0554828949259733,4340.0,Vicom/Kaggle,1735.0
9,28646.48100686588,45.0,,-0.0202468564523453,4620.0,Vicom/Kaggle,1735.0
10,23561.065629302502,115.0,,0.0021221451488039,3960.0,Vicom/Kaggle,970.0
11,34240.191870088645,70.0,,0.0070093082383143,5610.0,Vicom/Kaggle,970.0
12,43465.41162830981,96.0,,0.0029908840373164,6600.0,Vicom/Kaggle,970.0
13,28326.82661885024,45.0,16.198412821428573,-0.0201223088506979,4340.0,Vicom/Kaggle,1735.0
14,23428.45705000621,115.0,17.491525610169493,0.0072561348957343,3720.0,Vicom/Kaggle,970.0
15,34021.92983659845,70.0,16.272401630824373,0.0070542753120717,6200.0,Vicom/Kaggle,970.0
16,43492.420664018486,96.0,17.02007311678832,0.0032189518338071,6820.0,Vicom/Kaggle,1735.0
17,4504.499320089163,100.0,,-0.1643023615174116,0.0,Vicom/Kaggle,970.0
18,18808.54277009155,106.0,,0.0334956057920687,2640.0,Vicom/Kaggle,970.0
19,33506.87914846007,66.0,,-0.0286509506286114,4620.0,Vicom/Kaggle,970.0
20,20473.13916336232,97.0,,0.0551951121701174,3630.0,Vicom/Kaggle,970.0
21,4649.460608768538,100.0,11.601694440677967,-0.1247553603228309,0.0,Vicom/Kaggle,1735.0
22,18461.275833661926,106.0,11.461239937984496,0.0341256841638155,3100.0,Vicom/Kaggle,1735.0
23,33065.13187976109,66.0,13.171232899543378,-0.0290337280273915,4340.0,Vicom/Kaggle,1735.0
24,20391.3944029343,97.0,15.590163672131148,0.0554163844095265,4340.0,Vicom/Kaggle,1735.0
25,17854.737561167603,41.0,,-0.0470468576409725,2970.0,Vicom/Kaggle,1735.0
26,24137.48961307314,114.0,,0.0,3300.0,Vicom/Kaggle,970.0
27,36310.050586667945,75.0,,0.0063343356020226,4950.0,Vicom/Kaggle,970.0
28,44241.312873416864,109.0,,0.0067809938152415,7260.0,Vicom/Kaggle,970.0
29,28692.5386713826,41.0,20.04044107352941,-0.0191687817088719,3720.0,Vicom/Kaggle,1735.0
30,24016.10629866477,114.0,23.52518040287769,0.0,3100.0,Vicom/Kaggle,1735.0
31,36098.58492419245,75.0,21.22168297734628,0.006371442181669,6820.0,Vicom/Kaggle,1735.0
32,43891.95214404324,109.0,23.82209757303371,0.0075184647105024,7440.0,Vicom/Kaggle,1735.0
33,21860.80479695566,98.0,,-0.0228720448523473,2970.0,Vicom/Kaggle,970.0
34,27329.6364107193,97.0,,-0.0054885480486774,3960.0,Vicom/Kaggle,970.0
35,21908.83716434408,98.0,26.088757337278107,-0.022365460195202,3100.0,Vicom/Kaggle,1735.0
36,28187.97539925925,97.0,27.072674523255813,-0.0095785568149701,4340.0,Vicom/Kaggle,1735.0
37,4361.413300648389,108.0,,-0.1696941993251535,0.0,Vicom/Kaggle,970.0
38,18658.03314544411,105.0,,0.0337658094230976,3300.0,Vicom/Kaggle,970.0
39,33207.134357637944,60.0,,-0.0334267386430596,3960.0,Vicom/Kaggle,970.0
40,20097.799036172823,107.0,,0.0626946642466001,3300.0,Vicom/Kaggle,970.0
41,4698.241241706128,108.0,13.898304949152545,-0.1234598589666623,0.0,Vicom/Kaggle,1735.0
42,18445.91472290965,105.0,13.472222319444445,0.0341541031679242,3100.0,Vicom/Kaggle,1735.0
43,33009.613391332554,60.0,13.843283631840798,-0.0336267578336828,4960.0,Vicom/Kaggle,1735.0
44,19914.40315451777,107.0,16.515873015873016,0.0622676978665114,4340.0,Vicom/Kaggle,1735.0
45,4150.669346304945,98.0,,-0.3012929062294928,0.0,Vicom/Kaggle,970.0
46,4156.370882617498,98.0,16.520408163265305,-0.2912427934652099,0.0,Vicom/Kaggle,1735.0
