,route_id,total_distance,longitude_min,latitude_min,longitude_max,latitude_max,start_lat,end_lat,start_long,end_long,speedAvg,soc_max,soc_min,vehi_capacity,start_altitude[m],end_altitude[m],vehi_capacity_max[Wh],vehi_capacity_min[Wh],consumption[Wh],delta_altitude,slope
0,1,4205.270059726966,-1.9896799,43.26483,-1.9748018,43.29015,43.290142,43.267574,-1.9837459,-1.9748018,71.0,88,88,33000,118.0,32.0,2904000,2904000,0,-86.0,-0.20454807434515984
1,2,18632.377163725167,-2.073673,43.13965,-1.9751906000000004,43.267048,43.267048,43.14035,-1.9751906000000004,-2.0735366,106.0,88,79,33000,40.0,103.0,2904000,2607000,9,63.0,0.03381230402112821
2,3,33087.97136043405,-2.1654913,43.140427,-2.0156553,43.29523,43.140427,43.280975,-2.0735114,-2.1654913,60.0,78,65,33000,103.0,7.0,2574000,2145000,13,-96.0,-0.02901368688171611
3,4,20347.33163434583,-2.1652808,43.278812,-1.9696394,43.299057,43.28089,43.29019,-2.1652808,-1.9837523,95.0,65,52,33000,7.0,118.0,2145000,1716000,13,111.0,0.05455341943819576
4,5,4174.777336916378,-1.9898568,43.26489,-1.9747993,43.290127000000005,43.290127000000005,43.267673,-1.9837312,-1.9747993,71.0,84,84,62000,118.0,32.0,5208000,5208000,0,-86.0,-0.20604273275514404
5,6,18571.39662024152,-2.0738475,43.139565000000005,-1.9749799,43.267353,43.267353,43.13965,-1.9749799,-2.0738475,106.0,84,79,62000,39.0,92.0,5208000,4898000,5,53.0,0.028538626853673477
6,7,33213.25614646405,-2.1653295,43.13998,-2.0156527,43.29512,43.13998,43.280964,-2.073736,-2.1653295,60.0,79,72,62000,92.0,7.0,4898000,4464000,7,-85.0,-0.025592274959322824
7,8,20366.95082440368,-2.1654673,43.278835,-1.969673,43.298927,43.28076,43.290127000000005,-2.1654673,-1.9838207,95.0,72,65,62000,5.0,118.0,4464000,4030000,7,113.0,0.05548289492597336
8,9,28646.48100686588,-1.9834342,43.28761,-1.7802104,43.347553000000005,43.290115,43.319584000000006,-1.9834342,-1.8373947,45.0,52,38,33000,118.0,60.0,1716000,1254000,14,-58.0,-0.02024685645234534
9,10,23561.065629302502,-2.0251808,43.224293,-1.8315114,43.323383,43.3223,43.22468,-1.834186,-2.0230575,115.0,93,81,33000,57.0,62.0,3069000,2673000,12,5.0,0.002122145148803916
10,11,34240.191870088645,-2.2627513,43.121704,-2.0228622,43.22599,43.22478,43.180992,-2.0228622,-2.2624702,70.0,81,64,33000,62.0,86.0,2673000,2112000,17,24.0,0.007009308238314313
